Name,Directory,Spot,Result,Time
randD10_10.tsl,OPT,SAT,32 ms
randD10_11.tsl,OPT,SAT,33 ms
randD10_12.tsl,OPT,SAT,33 ms
randD10_13.tsl,OPT,SAT,22 ms
randD10_14.tsl,OPT,SAT,32 ms
randD10_15.tsl,OPT,SAT,22 ms
randD10_16.tsl,OPT,SAT,35 ms
randD10_17.tsl,OPT,SAT,42 ms
randD10_18.tsl,OPT,SAT,32 ms
randD10_19.tsl,OPT,SAT,25 ms
randD10_1.tsl,OPT,SAT,22 ms
randD10_20.tsl,OPT,SAT,34 ms
randD10_21.tsl,OPT,SAT,32 ms
randD10_22.tsl,OPT,SAT,33 ms
randD10_23.tsl,OPT,SAT,32 ms
randD10_24.tsl,OPT,SAT,23 ms
randD10_25.tsl,OPT,SAT,42 ms
randD10_26.tsl,OPT,SAT,44 ms
randD10_27.tsl,OPT,SAT,22 ms
randD10_28.tsl,OPT,SAT,32 ms
randD10_29.tsl,OPT,LTL-UNSAT,22 ms
randD10_2.tsl,OPT,SAT,22 ms
randD10_30.tsl,OPT,SAT,42 ms
randD10_3.tsl,OPT,SAT,22 ms
randD10_4.tsl,OPT,SAT,32 ms
randD10_5.tsl,OPT,SAT,32 ms
randD10_6.tsl,OPT,SAT,32 ms
randD10_7.tsl,OPT,SAT,23 ms
randD10_8.tsl,OPT,SAT,22 ms
randD10_9.tsl,OPT,SAT,32 ms
randD15_10.tsl,OPT,SAT,32 ms
randD15_11.tsl,OPT,SAT,32 ms
randD15_12.tsl,OPT,SAT,32 ms
randD15_13.tsl,OPT,SAT,33 ms
randD15_14.tsl,OPT,SAT,22 ms
randD15_15.tsl,OPT,SAT,33 ms
randD15_16.tsl,OPT,SAT,33 ms
randD15_17.tsl,OPT,SAT,42 ms
randD15_18.tsl,OPT,SAT,32 ms
randD15_19.tsl,OPT,SAT,32 ms
randD15_1.tsl,OPT,SAT,22 ms
randD15_20.tsl,OPT,SAT,32 ms
randD15_21.tsl,OPT,SAT,32 ms
randD15_22.tsl,OPT,SAT,32 ms
randD15_23.tsl,OPT,SAT,22 ms
randD15_24.tsl,OPT,SAT,44 ms
randD15_25.tsl,OPT,SAT,32 ms
randD15_26.tsl,OPT,LTL-UNSAT,22 ms
randD15_27.tsl,OPT,SAT,42 ms
randD15_28.tsl,OPT,SAT,32 ms
randD15_29.tsl,OPT,SAT,32 ms
randD15_2.tsl,OPT,SAT,61 ms
randD15_30.tsl,OPT,SAT,32 ms
randD15_3.tsl,OPT,SAT,32 ms
randD15_4.tsl,OPT,SAT,21 ms
randD15_5.tsl,OPT,SAT,32 ms
randD15_6.tsl,OPT,SAT,31 ms
randD15_7.tsl,OPT,SAT,22 ms
randD15_8.tsl,OPT,SAT,32 ms
randD15_9.tsl,OPT,SAT,22 ms
randD20_10.tsl,OPT,SAT,62 ms
randD20_11.tsl,OPT,SAT,32 ms
randD20_12.tsl,OPT,SAT,42 ms
randD20_13.tsl,OPT,SAT,73 ms
randD20_14.tsl,OPT,SAT,42 ms
randD20_15.tsl,OPT,SAT,32 ms
randD20_16.tsl,OPT,SAT,43 ms
randD20_17.tsl,OPT,SAT,33 ms
randD20_18.tsl,OPT,SAT,32 ms
randD20_19.tsl,OPT,SAT,62 ms
randD20_1.tsl,OPT,SAT,32 ms
randD20_20.tsl,OPT,LTL-UNSAT,22 ms
randD20_21.tsl,OPT,UNSAT,312 ms
randD20_22.tsl,OPT,SAT,42 ms
randD20_23.tsl,OPT,SAT,32 ms
randD20_24.tsl,OPT,SAT,34 ms
randD20_25.tsl,OPT,SAT,42 ms
randD20_26.tsl,OPT,SAT,22 ms
randD20_27.tsl,OPT,SAT,22 ms
randD20_28.tsl,OPT,SAT,22 ms
randD20_29.tsl,OPT,SAT,22 ms
randD20_2.tsl,OPT,SAT,34 ms
randD20_30.tsl,OPT,SAT,62 ms
randD20_3.tsl,OPT,SAT,21 ms
randD20_4.tsl,OPT,SAT,42 ms
randD20_5.tsl,OPT,SAT,32 ms
randD20_6.tsl,OPT,SAT,42 ms
randD20_7.tsl,OPT,SAT,56 ms
randD20_8.tsl,OPT,SAT,32 ms
randD20_9.tsl,OPT,SAT,32 ms
randD25_10.tsl,OPT,SAT,32 ms
randD25_11.tsl,OPT,SAT,32 ms
randD25_12.tsl,OPT,SAT,142 ms
randD25_13.tsl,OPT,SAT,42 ms
randD25_14.tsl,OPT,SAT,32 ms
randD25_15.tsl,OPT,SAT,32 ms
randD25_16.tsl,OPT,SAT,32 ms
randD25_17.tsl,OPT,SAT,22 ms
randD25_18.tsl,OPT,SAT,42 ms
randD25_19.tsl,OPT,SAT,32 ms
randD25_1.tsl,OPT,SAT,52 ms
randD25_20.tsl,OPT,SAT,32 ms
randD25_21.tsl,OPT,SAT,42 ms
randD25_22.tsl,OPT,SAT,52 ms
randD25_23.tsl,OPT,SAT,32 ms
randD25_24.tsl,OPT,LTL-UNSAT,32 ms
randD25_25.tsl,OPT,SAT,82 ms
randD25_26.tsl,OPT,SAT,34 ms
randD25_27.tsl,OPT,SAT,42 ms
randD25_28.tsl,OPT,SAT,42 ms
randD25_29.tsl,OPT,LTL-UNSAT,32 ms
randD25_2.tsl,OPT,SAT,43 ms
randD25_30.tsl,OPT,SAT,52 ms
randD25_3.tsl,OPT,SAT,32 ms
randD25_4.tsl,OPT,SAT,32 ms
randD25_5.tsl,OPT,SAT,32 ms
randD25_6.tsl,OPT,SAT,32 ms
randD25_7.tsl,OPT,SAT,53 ms
randD25_8.tsl,OPT,SAT,143 ms
randD25_9.tsl,OPT,SAT,33 ms
randD30_10.tsl,OPT,SAT,83 ms
randD30_11.tsl,OPT,SAT,22 ms
randD30_12.tsl,OPT,SAT,1132 ms
randD30_13.tsl,OPT,SAT,32 ms
randD30_14.tsl,OPT,SAT,52 ms
randD30_15.tsl,OPT,SAT,93 ms
randD30_16.tsl,OPT,SAT,332 ms
randD30_17.tsl,OPT,SAT,433 ms
randD30_18.tsl,OPT,SAT,54 ms
randD30_19.tsl,OPT,SAT,82 ms
randD30_1.tsl,OPT,SAT,43 ms
randD30_20.tsl,OPT,SAT,42 ms
randD30_21.tsl,OPT,SAT,42 ms
randD30_22.tsl,OPT,SAT,52 ms
